	Country.Name	FSI	gdp_growth	employment	water_access	real_interest_rate	energy_use	death_rate	internet_users	net_flow_ext_debt	tax_rate	infant_deaths	electro_access	import_good_serv	urban_population	school_primary_enr	sanit_facil	tax_income	sci_articles	employment
63	Guinea	105.0	1.9362174231542502	70.599998474121	72.8	5.02405073343827	2572.608479264877	12.036	1.0	42255000.0	87.8	29265	20.2	36.5274092443014	34.856	86.3597412109375	17.9	1353034743860.0757	5.5	70.599998474121
64	Gambia, The	80.2	6.52463260726105	72.099998474121	88.9	21.761298622733	2572.608479264877	10.119	9.2	31484000.0	292.1	3674	31.0	42.6337035128436	56.297	85.1532974243164	58.8	1353034743860.0757	19.2	72.099998474121
65	Guinea-Bissau	97.2	4.4320216722531	68.099998474121	69.8	5.02405073343827	2572.608479264877	13.046	2.45	-218000.0	45.9	4352	57.0	35.34939236628129	45.221000000000004	116.22160339355499	18.9	1353034743860.0757	2.3	68.099998474121
66	Equatorial Guinea	88.5	-1.30012941823568	80.599998474121	47.5	5.02405073343827	2572.608479264877	14.215	6.0	4168681745.762712	44.1	2055	65.1722	80.92452417568809	39.223	87.0697021484375	75.8	1353034743860.0757	0.1	80.599998474121
67	Greece	45.9	-5.448755760856861	47.2999992370605	100.0	5.02405073343827	2475.48382770037	9.8	44.4	4168681745.762712	46.7	469	100.0	30.6725709253719	76.292	102.873428344727	98.5	15587000000.0	4631.2	47.2999992370605
68	Grenada	67.0	-0.47694753577105997	58.538823621413286	96.6	10.0476282911354	2572.608479264877	7.577999999999999	27.0	13133000.0	45.3	26	87.87328000000001	49.231508165225705	35.681	103.374443054199	98.0	73200000.0	8.5	58.538823621413286
69	Guatemala	81.2	2.8693723892527596	64.90000152587889	90.7	7.79890792806121	691.977694394635	5.441	10.5	881142000.0	40.9	11684	78.3	36.309379062303904	49.323	116.47943115234399	61.6	10319232706.8	20.4	64.90000152587889
70	Guyana	73.0	4.37086941707121	54.2999992370605	94.2	7.34628912639979	2572.608479264877	7.03	29.9	313769000.0	38.8	364	77.0	47.216126759295705	28.239	82.67259216308591	83.2	1353034743860.0757	8.2	54.2999992370605
71	Honduras	80.0	3.7312701479566606	59.2000007629395	88.0	13.5548525881374	607.991071279839	4.905	11.09	574688000.0	44.1	3633	80.0	63.68293204493361	51.696000000000005	115.30560302734399	77.4	13241250000.0	9.8	59.2000007629395
72	Croatia	59.0	-1.7011368880312	46.0	99.2	9.46644729981604	1938.46661932767	11.8	56.55	4168681745.762712	22.1	229	100.0	38.1601690032648	57.537	92.376609802246	97.1	7608630100.0	1246.5	46.0
73	Haiti	101.6	-5.49779233727389	59.9000015258789	59.3	11.4087148711782	379.671841431527	8.954	8.37	285888000.0	40.4	23398	33.9	61.60433336330129	52.016000000000005	105.25319197518485	25.9	1353034743860.0757	5.8	59.9000015258789
74	Hungary	50.1	0.789116879525054	44.9000015258789	100.0	5.33268266405097	2568.37989272625	13.0	65.0	-22659927000.0	54.6	561	100.0	77.2623870752018	68.859	102.098182678223	98.0	2064226000000.0	2221.0	44.9000015258789
75	Indonesia	83.1	6.22385418062284	63.0	84.5	-1.7460975355970298	866.7853252310471	6.3229999999999995	10.92	19357912000.0	28.7	127011	94.2	22.402242939232696	49.924	109.92465209960899	57.0	1353034743860.0757	247.7	63.0
76	India	79.2	10.259962989017401	53.5	90.3	-0.596843392857797	586.956979273234	7.968999999999999	7.5	35456484000.0	64.9	1225179	75.0	26.3380246912065	30.93	113.46710205078101	35.5	4378260000000.0	20881.8	53.5
77	Ireland	22.4	-0.27550500952816	52.5	97.4	5.02405073343827	3131.99836409069	6.1	69.85	4168681745.762712	25.3	265	100.0	78.2297045263278	61.84	105.700393676758	90.1	15841050000.0	3055.8	52.5
78	Iran, Islamic Rep.	92.2	6.629451624762419	38.2000007629395	95.8	-1.40271662575409	2794.5194355009303	5.273	15.9	1502461000.0	44.1	23065	98.4	47.216126759295705	70.626	106.300796508789	88.6	1353034743860.0757	6992.6	38.2000007629395
79	Iraq	107.3	5.5378902509448	35.5999984741211	85.1	-3.58689465415913	1216.84016369491	5.456	2.5	4168681745.762712	27.8	33135	98.0	34.080650405964306	69.03399999999999	105.25319197518485	83.3	1353034743860.0757	68.1	35.5999984741211
80	Iceland	29.8	-3.06711367771101	68.90000152587889	100.0	4.53263924974552	16882.4994261746	6.4	93.39	4168681745.762712	26.1	10	100.0	43.0766127365675	93.624	98.8367385864258	98.8	132866699163.5	273.5	68.90000152587889
81	Italy	45.7	1.7105824180637699	44.2000007629395	100.0	3.69990494578061	2876.11553654573	9.9	53.68	4168681745.762712	67.7	1892	100.0	27.137436613094	68.327	101.06272125244101	99.5	193547000000.0	26347.6	44.2000007629395
